ModelName,WJ324,,
FileVersion,1,,
Acquisition Time,2023/12/01 15:54,,
Time/div(second),2.00E-04,,
Delay(second),0.00E+00,,
Delta(second),2.00E-08,,
Acquisition Mode,Normal,,
Trigger Address,50000,,
CH1 Display,On,,
CH2 Display,On,,
CH3 Display,Off,,
CH4 Display,Off,,
CH1 Volt/div,5.00E-02,,
CH2 Volt/div,1.00E-01,,
CH3 Volt/div,5.00E-03,,
CH4 Volt/div,5.00E-03,,
CH1 Offset,7.00E-03,,
CH2 Offset,-1.50E-01,,
CH3 Offset,0.00E+00,,
CH4 Offset,0.00E+00,,
CH1 Coupling,DC1M,,
CH2 Coupling,DC1M,,
CH3 Coupling,DC1M,,
CH4 Coupling,DC1M,,
CH1 Bandwidth,Full,,
CH2 Bandwidth,Full,,
CH3 Bandwidth,Full,,
CH4 Bandwidth,Full,,
-2.10E-02,-8.75E-02,,
-1.95E-02,-8.43E-02,,
-1.95E-02,-8.43E-02,,
-2.10E-02,-8.75E-02,,
-1.95E-02,-8.43E-02,,
-1.95E-02,-8.43E-02,,
-1.79E-02,-8.75E-02,,
-1.95E-02,-8.43E-02,,
-1.95E-02,-8.43E-02,,
-1.79E-02,-8.43E-02,,
-1.79E-02,-8.43E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.43E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.43E-02,,
-1.63E-02,-8.43E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.43E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.43E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.43E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.48E-02,-8.43E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.43E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.43E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.43E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.43E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.63E-02,-9.06E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-9.06E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.43E-02,,
-1.63E-02,-9.06E-02,,
-1.79E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.43E-02,,
-1.63E-02,-9.06E-02,,
-1.63E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.79E-02,-8.75E-02,,
-1.63E-02,-9.06E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-9.06E-02,,
-1.63E-02,-9.06E-02,,
-1.79E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-9.06E-02,,
-1.63E-02,-9.06E-02,,
-1.79E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-9.06E-02,,
-1.63E-02,-8.75E-02,,
-1.63E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-8.43E-02,,
-1.48E-02,-8.75E-02,,
-1.48E-02,-9.06E-02,,
-1.32E-02,-9.06E-02,,
-1.48E-02,-8.75E-02,,
-1.32E-02,-8.75E-02,,
-1.32E-02,-8.43E-02,,
-1.32E-02,-8.75E-02,,
-1.32E-02,-8.43E-02,,
-1.32E-02,-8.75E-02,,
-1.32E-02,-9.06E-02,,
-1.32E-02,-8.12E-02,,
-1.32E-02,-9.06E-02,,
-1.16E-02,-9.37E-02,,
-1.16E-02,-8.75E-02,,
-1.32E-02,-8.43E-02,,
-1.16E-02,-9.68E-02,,
-1.32E-02,-8.75E-02,,
-1.16E-02,-8.75E-02,,
-1.16E-02,-9.37E-02,,
-1.16E-02,-8.75E-02,,
-1.16E-02,-8.43E-02,,
-1.16E-02,-9.37E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-8.43E-02,,
-1.16E-02,-9.37E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-9.37E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-1.01E-02,-9.06E-02,,
-1.01E-02,-8.75E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-8.56E-03,-9.06E-02,,
-7.00E-03,-8.75E-02,,
-8.56E-03,-9.06E-02,,
-7.00E-03,-8.75E-02,,
-7.00E-03,-9.06E-02,,
-7.00E-03,-9.06E-02,,
-7.00E-03,-9.06E-02,,
-7.00E-03,-9.06E-02,,
-7.00E-03,-9.06E-02,,
-7.00E-03,-8.75E-02,,
-7.00E-03,-9.06E-02,,
-7.00E-03,-9.06E-02,,
-7.00E-03,-9.06E-02,,
-5.43E-03,-9.06E-02,,
-5.43E-03,-9.06E-02,,
-7.00E-03,-8.75E-02,,
-5.43E-03,-9.06E-02,,
-5.43E-03,-9.06E-02,,
-7.00E-03,-8.75E-02,,
-5.43E-03,-9.37E-02,,
-5.43E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-3.87E-03,-9.37E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-9.06E-02,,
-2.31E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-9.37E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-9.06E-02,,
-7.50E-04,-8.75E-02,,
-2.31E-03,-9.06E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-9.06E-02,,
8.12E-04,-8.75E-02,,
-7.50E-04,-9.37E-02,,
8.12E-04,-9.06E-02,,
8.12E-04,-9.37E-02,,
8.12E-04,-9.06E-02,,
-7.50E-04,-8.75E-02,,
8.12E-04,-9.06E-02,,
8.12E-04,-8.75E-02,,
8.12E-04,-8.75E-02,,
8.12E-04,-9.06E-02,,
8.12E-04,-9.06E-02,,
-7.50E-04,-8.75E-02,,
8.12E-04,-9.37E-02,,
8.12E-04,-9.06E-02,,
-7.50E-04,-8.75E-02,,
8.12E-04,-9.06E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-9.06E-02,,
8.12E-04,-8.75E-02,,
8.12E-04,-9.06E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-9.06E-02,,
-2.31E-03,-9.06E-02,,
-7.50E-04,-8.75E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-8.75E-02,,
-2.31E-03,-8.75E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-8.75E-02,,
-3.87E-03,-8.75E-02,,
-2.31E-03,-8.75E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-3.87E-03,-8.75E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-9.06E-02,,
-5.43E-03,-9.06E-02,,
-5.43E-03,-8.75E-02,,
-5.43E-03,-8.75E-02,,
-3.87E-03,-9.06E-02,,
-5.43E-03,-8.75E-02,,
-5.43E-03,-9.06E-02,,
-5.43E-03,-9.06E-02,,
-5.43E-03,-8.75E-02,,
-5.43E-03,-9.06E-02,,
-5.43E-03,-8.75E-02,,
-3.87E-03,-8.75E-02,,
-5.43E-03,-9.37E-02,,
-5.43E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-5.43E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-3.87E-03,-9.06E-02,,
-3.87E-03,-8.75E-02,,
-3.87E-03,-9.06E-02,,
-2.31E-03,-8.75E-02,,
-3.87E-03,-8.43E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-9.06E-02,,
-2.31E-03,-8.75E-02,,
-2.31E-03,-9.06E-02,,
-7.50E-04,-8.75E-02,,
-2.31E-03,-8.75E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-9.06E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-8.75E-02,,
-7.50E-04,-9.06E-02,,
8.12E-04,-8.75E-02,,
8.12E-04,-8.75E-02,,
8.12E-04,-9.06E-02,,
8.12E-04,-9.06E-02,,
8.12E-04,-8.75E-02,,
2.37E-03,-8.75E-02,,
2.37E-03,-8.75E-02,,
2.37E-03,-8.43E-02,,
2.37E-03,-9.06E-02,,
2.37E-03,-9.06E-02,,
2.37E-03,-9.06E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
3.93E-03,-9.06E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.43E-02,,
3.93E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-9.06E-02,,
5.50E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
3.93E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
5.50E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-9.06E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
2.37E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-9.06E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
2.37E-03,-8.75E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.75E-02,,
2.37E-03,-8.75E-02,,
2.37E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.75E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.43E-02,,
3.93E-03,-8.75E-02,,
5.50E-03,-8.43E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.43E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.43E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.43E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.75E-02,,
5.50E-03,-8.43E-02,,
5.50E-03,-8.43E-02,,
7.06E-03,-8.75E-02,,
5.50E-03,-8.43E-02,,
7.06E-03,-8.75E-02,,
7.06E-03,-8.75E-02,,
7.06E-03,-8.43E-02,,
7.06E-03,-8.75E-02,,
7.06E-03,-8.75E-02,,
8.62E-03,-8.43E-02,,
7.06E-03,-8.75E-02,,
7.06E-03,-8.43E-02,,
7.06E-03,-8.43E-02,,
7.06E-03,-8.75E-02,,
7.06E-03,-8.43E-02,,
8.62E-03,-8.43E-02,,
8.62E-03,-8.75E-02,,
7.06E-03,-8.75E-02,,
8.62E-03,-8.43E-02,,
8.62E-03,-8.75E-02,,
8.62E-03,-8.43E-02,,
8.62E-03,-8.43E-02,,
8.62E-03,-8.75E-02,,
8.62E-03,-8.43E-02,,
1.01E-02,-8.43E-02,,
8.62E-03,-8.75E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.75E-02,,
1.01E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.01E-02,-9.06E-02,,
1.17E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.17E-02,-8.75E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.01E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.33E-02,-8.12E-02,,
1.33E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.33E-02,-8.75E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.33E-02,-8.12E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.33E-02,-8.12E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.33E-02,-8.12E-02,,
1.33E-02,-8.75E-02,,
1.33E-02,-8.12E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.43E-02,,
1.33E-02,-8.12E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.12E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.43E-02,,
1.17E-02,-8.12E-02,,
1.01E-02,-8.12E-02,,
1.01E-02,-8.12E-02,,
1.01E-02,-8.12E-02,,
1.01E-02,-8.43E-02,,
1.01E-02,-8.12E-02,,
1.01E-02,-8.12E-02,,
1.01E-02,-8.12E-02,,
1.01E-02,-8.12E-02,,
1.01E-02,-8.43E-02,,
